background_id,latitude,longitude,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
BG_0086,27.792959202284816,95.09169238677588,431.99742033773714,121.70505924900044,unclassified,,284821138.0,river,,206421922.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:36:36Z,local equirectangular point-to-polyline
BG_0087,26.449911584432304,93.14970993590435,2420.4660815525685,5212.269993714043,service,,425115639.0,stream,,1254519124.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:37:36Z,local equirectangular point-to-polyline
BG_0088,24.24755795605224,92.45272769369288,3654.50671390144,4536.343253540626,unclassified,,1343894498.0,river,Tlawng,297310753.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:38:36Z,local equirectangular point-to-polyline
BG_0089,27.792185446613125,88.31823110531914,8914.49344208094,1176.8941504532827,track,,1153267680.0,stream,,1415593133.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:40:41Z,local equirectangular point-to-polyline
BG_0090,27.213390151384647,88.43724232880848,139.02176879541963,1215.6682119214015,unclassified,,593428589.0,stream,,605885565.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:40:41Z,local equirectangular point-to-polyline
BG_0091,26.300868293490385,92.18848668851426,19.90669093603401,65.84538091372454,unclassified,,1304231741.0,stream,,1255710650.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:41:46Z,local equirectangular point-to-polyline
BG_0092,24.691142673314378,93.21125438564005,716.8934144546597,51.08000784910398,unclassified,,1292529357.0,river,Barak River,27919470.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:41:46Z,local equirectangular point-to-polyline
BG_0093,24.537606641199822,93.0597137660904,1702.902541332091,1089.4564904687638,unclassified,JT Road,1246908517.0,river,Barak River,128600546.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:42:50Z,local equirectangular point-to-polyline
BG_0094,24.440463522544214,93.34602188487096,4802.46197387307,426.9170330322447,unclassified,,1260578334.0,river,Tuipi Lui,667750344.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:42:50Z,local equirectangular point-to-polyline
BG_0095,24.53764819043452,94.3210524246647,2043.384166972264,569.5759749221614,unclassified,,1070318582.0,river,Taret River,455695966.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:42:50Z,local equirectangular point-to-polyline
BG_0096,25.37935982658731,94.30469476643856,151.1248449741206,1000.065615440046,tertiary,,575888602.0,river,Iril River,385538847.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:43:50Z,local equirectangular point-to-polyline
BG_0097,23.956816339810302,93.02364726184844,1.6314105308875848,3195.4557326539493,primary,,385140327.0,river,Tuivawl,198312358.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:44:50Z,local equirectangular point-to-polyline
BG_0098,23.88715463536132,93.02554652164426,157.5847030402508,2722.284993796441,primary,,385140334.0,river,Tuivawl,198312358.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:44:50Z,local equirectangular point-to-polyline
BG_0099,24.116151354566984,93.0066578412365,4722.911098869928,775.6099135387611,tertiary,,198312337.0,river,Tuivai,227382052.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:44:50Z,local equirectangular point-to-polyline
BG_0100,24.238062865382908,93.97107908406348,162.80890547765924,3802.976042313712,track,,1189772494.0,river,Chakpi River,385485444.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:45:51Z,local equirectangular point-to-polyline
BG_0101,27.884282610637943,88.64765967677508,4669.842424193229,4867.399281635156,tertiary,,117990953.0,river,Lachung Chu,170015107.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:46:51Z,local equirectangular point-to-polyline
BG_0102,24.961705507187425,93.26818694665414,1763.1371593321917,650.3922795844168,unclassified,,1381083163.0,river,Jiri River,1380993869.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:46:51Z,local equirectangular point-to-polyline
BG_0103,27.19964747160188,88.69159795421072,6.567407396908593,339.988892194845,trunk,Jelep Pass Highway,353285063.0,river,Rongli Chu,353285071.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:46:51Z,local equirectangular point-to-polyline
BG_0104,25.09201483354823,93.5239659170768,2048.4741115184083,915.4316024186056,track,,1425920608.0,river,Damdui Vapi,680968884.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:47:51Z,local equirectangular point-to-polyline
BG_0105,24.998874264219296,94.1957687693676,648.5491093744799,2116.981369140614,unclassified,,1504177394.0,stream,,1524563918.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:47:51Z,local equirectangular point-to-polyline
